age,experience,education,city,salary,monthly_spending,credit_score
56,31,Master,Bangalore,228026,113157,719
46,27,Bachelor,Pune,219092,135793,765
32,11,Bachelor,Delhi,128090,37897,597
60,42,Bachelor,Mumbai,335449,120687,767
25,3,Bachelor,Jaipur,54652,16087,645
38,12,Bachelor,Bangalore,141624,64050,635
56,38,Bachelor,Delhi,311089,114277,681
36,10,Bachelor,Bangalore,120245,40618,568
40,12,Master,Jaipur,116840,28607,637
28,3,Master,Bangalore,50889,22359,581
28,5,Master,Mumbai,46000,22898,581
41,17,Bachelor,Mumbai,152109,51103,721
53,33,Master,Bangalore,280030,136436,690
57,39,Bachelor,Bangalore,303938,142905,742
41,19,Bachelor,Pune,175683,93649,566
20,0,Master,Delhi,51667,12106,596
39,10,Bachelor,Jaipur,115092,64053,568
19,0,Master,Delhi,41557,23080,592
41,19,Master,Mumbai,148632,89803,683
61,36,Bachelor,Delhi,284661,166573,823
47,19,Bachelor,Mumbai,197899,69944,670
55,29,Bachelor,Bangalore,242556,63107,680
19,0,Master,Bangalore,62951,25778,568
38,9,Bachelor,Delhi,91653,39766,564
50,30,Bachelor,Bangalore,248509,76259,712
29,9,Bachelor,Delhi,92259,34733,586
39,21,Master,Pune,189879,80981,652
61,36,Bachelor,Jaipur,302925,77496,694
42,19,Bachelor,Mumbai,178536,54694,657
44,15,Master,Bangalore,160127,57009,657
59,34,PhD,Mumbai,275302,76144,653
45,17,Bachelor,Delhi,155142,52831,607
33,7,Bachelor,Mumbai,60627,20292,591
32,10,Bachelor,Pune,115576,50071,506
64,35,Master,Bangalore,287082,145752,794
61,41,Bachelor,Delhi,320981,148806,726
20,0,Bachelor,Pune,32137,17470,512
54,32,Master,Bangalore,259446,92963,701
24,2,Master,Pune,46456,36900,565
38,18,Bachelor,Bangalore,153079,99595,609
26,0,Master,Bangalore,41593,21916,589
56,29,Master,Delhi,248762,116201,710
35,14,Bachelor,Delhi,121941,44779,586
21,0,Bachelor,Jaipur,29488,8510,529
42,15,PhD,Mumbai,140430,38176,564
31,5,Bachelor,Jaipur,73072,48160,524
26,7,Bachelor,Bangalore,81577,38493,600
43,18,Bachelor,Delhi,173395,87438,606
19,0,Master,Delhi,18000,5000,622
37,13,Bachelor,Mumbai,105874,54652,617
45,20,Bachelor,Jaipur,180403,60188,595
64,44,Bachelor,Bangalore,333959,77489,724
24,1,Bachelor,Mumbai,56763,15929,597
61,43,Master,Mumbai,352547,158731,761
25,1,Master,Delhi,47506,10587,594
64,46,Bachelor,Bangalore,339920,183147,765
52,26,Bachelor,Delhi,235818,77377,657
31,13,Master,Pune,127983,55076,659
34,16,Bachelor,Mumbai,123695,50778,595
53,29,Bachelor,Mumbai,219022,74576,714
57,38,PhD,Bangalore,323254,172168,731
21,0,Master,Bangalore,55767,31510,585
19,0,Bachelor,Jaipur,18000,11641,622
23,0,Bachelor,Bangalore,18000,8066,534
59,39,Bachelor,Delhi,325112,162453,723
21,0,Bachelor,Bangalore,35222,18227,576
46,26,Bachelor,Delhi,227527,105517,636
35,12,Bachelor,Delhi,119570,42481,674
43,20,Bachelor,Jaipur,186317,63047,707
61,41,PhD,Pune,322087,84868,715
51,27,Master,Jaipur,219435,111426,621
27,7,Bachelor,Bangalore,99881,45267,538
53,28,Bachelor,Bangalore,236530,81731,644
31,4,Master,Delhi,76285,32388,602
48,27,Bachelor,Mumbai,226861,134904,746
32,14,Bachelor,Pune,124704,35524,651
25,4,PhD,Mumbai,87625,26800,560
31,7,Bachelor,Pune,91324,41788,598
40,12,Master,Pune,117674,45877,575
57,36,PhD,Delhi,306674,140458,773
38,15,Bachelor,Bangalore,121687,28042,642
33,7,Bachelor,Pune,120544,54471,615
62,44,Bachelor,Mumbai,339312,168080,740
35,13,Master,Pune,107979,52467,608
64,36,Master,Bangalore,319589,175162,759
41,17,Master,Delhi,149052,83827,692
43,25,Bachelor,Bangalore,212648,119361,650
42,21,Master,Jaipur,193265,89569,686
62,39,PhD,Delhi,327262,84396,716
58,39,Master,Pune,311996,135750,829
46,19,PhD,Mumbai,161790,45688,628
32,10,Master,Pune,109284,64672,625
62,34,Master,Pune,270710,98433,726
18,0,Master,Mumbai,37735,16173,654
42,24,Bachelor,Mumbai,226422,71335,679
24,1,Bachelor,Pune,54838,29290,534
26,3,Master,Bangalore,60599,30700,590
41,20,Bachelor,Pune,186577,75768,674
18,0,Master,Delhi,46151,23427,543
61,40,PhD,Jaipur,299331,101609,706
25,0,Master,Pune,38125,9364,528
41,16,Bachelor,Jaipur,187937,94414,665
28,6,Bachelor,Delhi,96192,44324,510
34,13,Bachelor,Bangalore,118948,70103,605
25,0,Master,Bangalore,28451,10348,589
52,33,Master,Mumbai,255952,61063,711
52,24,PhD,Bangalore,219994,128992,756
50,30,Bachelor,Delhi,269114,77220,630
22,2,PhD,Pune,57732,30463,521
59,38,Master,Bangalore,303857,171847,647
56,35,Bachelor,Delhi,273837,77929,804
58,31,Master,Pune,260440,113971,667
45,17,Bachelor,Bangalore,145698,46689,555
24,0,Bachelor,Delhi,18000,7389,525
26,4,Master,Jaipur,88552,30535,514
25,4,Bachelor,Jaipur,48412,12322,545
29,1,Master,Bangalore,41127,10077,556
51,24,Master,Delhi,216345,87301,702
50,25,Master,Pune,234017,130101,668
40,17,Bachelor,Bangalore,159356,88376,636
41,18,Bachelor,Mumbai,144594,73957,616
54,29,Master,Bangalore,235979,101660,634
52,28,Bachelor,Bangalore,222822,119247,616
61,34,Bachelor,Bangalore,275926,106301,705
57,29,Bachelor,Bangalore,260479,134139,698
39,10,Master,Bangalore,71439,41476,582
44,17,Bachelor,Jaipur,151329,57455,562
52,27,Master,Mumbai,219239,110846,693
18,0,Master,Pune,18000,11496,615
52,26,Bachelor,Jaipur,228782,129500,675
54,36,Bachelor,Bangalore,264775,134631,706
64,39,PhD,Bangalore,291001,96440,742
