age,experience,education,city,salary,monthly_spending,credit_score
47,18,Bachelor,Pune,186414,93588,559
22,0,Bachelor,Delhi,38642,18114,528
55,34,Bachelor,Pune,275219,136901,729
27,5,Bachelor,Bangalore,54952,41148,588
39,11,Bachelor,Pune,157083,55797,597
35,16,Bachelor,Bangalore,152201,69208,653
64,41,Bachelor,Bangalore,321453,130329,777
58,34,PhD,Mumbai,252501,86424,728
53,32,PhD,Bangalore,240856,103227,704
45,26,Bachelor,Pune,222880,103012,678
46,26,Bachelor,Mumbai,172475,63901,649
30,5,Bachelor,Delhi,124721,30770,640
19,0,Bachelor,Bangalore,28497,16900,563
54,29,Master,Pune,226143,110959,679
22,0,Bachelor,Bangalore,24526,15040,546
52,27,Bachelor,Jaipur,228153,107092,665
49,22,Bachelor,Bangalore,182466,64966,599
50,24,Bachelor,Bangalore,200468,91273,688
52,28,Master,Pune,219984,87395,601
21,0,Master,Bangalore,20811,11247,502
34,19,Master,Bangalore,152721,77348,599
38,9,Bachelor,Bangalore,92454,58651,537
49,26,PhD,Mumbai,199796,47862,672
32,10,Bachelor,Mumbai,109856,81252,604
24,2,Master,Mumbai,61214,54248,620
47,31,Master,Delhi,214916,72674,648
34,3,Bachelor,Pune,88223,32504,529
25,3,Master,Jaipur,81491,77303,715
49,19,Bachelor,Delhi,109384,54577,607
34,7,Master,Delhi,86549,60614,612
39,9,Bachelor,Delhi,60609,23745,600
63,40,Bachelor,Pune,328766,140426,704
25,0,Bachelor,Pune,91721,23414,602
26,7,Bachelor,Pune,101128,36335,597
30,9,Bachelor,Bangalore,85506,20208,548
44,29,Bachelor,Pune,236422,90813,696
60,36,Master,Bangalore,283641,144751,742
62,39,Bachelor,Bangalore,283472,91761,796
62,39,Bachelor,Jaipur,303998,167912,703
26,6,PhD,Delhi,67910,31030,585
47,30,PhD,Mumbai,244020,113625,597
41,13,Bachelor,Pune,87231,25886,599
55,26,Bachelor,Mumbai,221940,77496,659
56,35,Master,Jaipur,303801,126720,690
38,16,Master,Mumbai,151646,34611,631
45,34,Bachelor,Mumbai,300445,107114,694
20,0,Master,Pune,32785,28054,516
30,0,Bachelor,Pune,39355,11256,536
26,3,Bachelor,Delhi,37508,9914,671
22,0,Master,Jaipur,48703,77617,510
35,14,Master,Pune,186737,47472,613
54,32,Master,Pune,248075,96850,636
37,13,Bachelor,Pune,132031,40580,643
56,34,Bachelor,Pune,276618,117690,707
29,7,Bachelor,Jaipur,85311,83581,679
48,20,Bachelor,Delhi,145746,88254,664
